year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2021,Service,Services,TN,22,633951.02,18306.01,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Good,Biens,TN,9,177650.74,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Construction,Construction,TN,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Service,Services,TC,4,256884.16,20580.3,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Good,Biens,TC,2,64460.98,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Construction,Construction,TC,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Service,Services,ST,1,187128,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Good,Biens,ST,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Construction,Construction,ST,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Service,Services,OB,29,4955466.85,796621.75,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Good,Biens,OB,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2021,Construction,Construction,OB,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Service,Services,OB,209,22329465.52,13770254.01,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,OB,205,12622720.06,73620.23,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,OB,19,5449702.22,313808.59,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Service,Services,TC,200,13564950.97,3316395.77,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,TC,341,8814581.03,104591.34,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,TC,50,1964992.12,220423.34,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Service,Services,TN,316,17045676.30,3066379.94,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,TN,211,5871389.02,-7101.16,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,TN,3,54850.46,7679.35,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Service,Services,AC,29,10064256.98,19671.17,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,AC,4,172355.73,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,AC,0,0,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Service,Services,ST,1,24860,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,ST,0,0,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,ST,1,58195,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,TC,288,13881733.84,7832819.52,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,TC,436,15423139.03,-12379.53,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,TC,65,2858179.32,276852.87,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,OB,121,8667017.39,3344939.32,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,OB,168,13069841.88,55768.40,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,OB,14,3661018.30,482226.76,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,AC,31,2057181.41,539388.51,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
