year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2020,Good,Biens,58,148955.09,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Construction,Construction,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Service,Services,146,558793,17065,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Good,Biens,149,567650,23500,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Construction,Construction,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2018,Service,Services,61,255975.19,7007.04,Canada Energy Regulator,La Régie de l’énergie du Canada
2018,Good,Biens,27,93421.02,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2018,Construction,Construction,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Service,Services,57,144727.53,9760.02,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Good,Biens,20,76759.29,224.78,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Construction,Construction,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2020,Service,Services,36,146708.89,2585,Canada Energy Regulator,La Régie de l’énergie du Canada
2020,Good,Biens,11,53647.26,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2020,Construction,Construction,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Service,Services,323,952911.01,-449889.71,Canada Revenue Agency,Agence du revenu du Canada
2017,Good,Biens,702,1296546.77,-25408.29,Canada Revenue Agency,Agence du revenu du Canada
2017,Construction,Construction,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2018,Service,Services,383,1076148.36,-661464.61,Canada Revenue Agency,Agence du revenu du Canada
2018,Good,Biens,342,892348.79,-3279.43,Canada Revenue Agency,Agence du revenu du Canada
2018,Construction,Construction,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2019,Service,Services,339,973501.44,-164071.31,Canada Revenue Agency,Agence du revenu du Canada
2019,Good,Biens,287,653482.43,-2204.93,Canada Revenue Agency,Agence du revenu du Canada
2019,Construction,Construction,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2020,Service,Services,230,637942.75,-31331.33,Canada Revenue Agency,Agence du revenu du Canada
2020,Good,Biens,176,451179.14,-902.8,Canada Revenue Agency,Agence du revenu du Canada
2020,Construction,Construction,1,1475.51,0,Canada Revenue Agency,Agence du revenu du Canada
2017,Service,Services,139,1945360.22,655.51,Canada School of Public Service,École de la fonction publique du Canada
2017,Good,Biens,48,866944.86,-8134.09,Canada School of Public Service,École de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2018,Service,Services,230,1242589.47,72251.84,Canada School of Public Service,École de la fonction publique du Canada
2018,Good,Biens,75,322775.84,4882.85,Canada School of Public Service,École de la fonction publique du Canada
2018,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2019,Service,Services,188,753843.62,-2654.21,Canada School of Public Service,École de la fonction publique du Canada
2019,Good,Biens,51,188813.06,6265.14,Canada School of Public Service,École de la fonction publique du Canada
2019,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2020,Service,Services,104,249719.33,9710.54,Canada School of Public Service,École de la fonction publique du Canada
2020,Good,Biens,28,68579.49,5279.47,Canada School of Public Service,École de la fonction publique du Canada
2020,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2017,Service,Services,72,182505.42,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Good,Biens,85,104528.73,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Construction,Construction,0,0,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Service,Services,443,1310898.97,235829.99,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Good,Biens,2486,4453212.72,7394.48,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Construction,Construction,49,129949.76,158744.85,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2018,Service,Services,427,760023.8,60365.72,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2018,Good,Biens,1193,1678358.76,-39855.34,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2018,Construction,Construction,50,98782.14,6086.15,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Service,Services,185,582906.49,103068.32,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Good,Biens,429,1095685.46,-210.01,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Construction,Construction,43,110438.52,9913,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2020,Service,Services,124,551142.41,93514.16,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2020,Good,Biens,235,589020.75,28771.7,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2020,Construction,Construction,40,56760.97,3802.38,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Service,Services,235,579884.51,-13851.11,Canadian Grain Commission,Commission canadienne des grains
2017,Good,Biens,941,1340901.82,3844.02,Canadian Grain Commission,Commission canadienne des grains
2017,Construction,Construction,4,4923.98,0,Canadian Grain Commission,Commission canadienne des grains
2018,Service,Services,154,295823.32,5844.36,Canadian Grain Commission,Commission canadienne des grains
2018,Good,Biens,963,1330766.01,1509.18,Canadian Grain Commission,Commission canadienne des grains
2018,Construction,Construction,4,8571.91,0,Canadian Grain Commission,Commission canadienne des grains
2019,Service,Services,170,366659.36,4061.51,Canadian Grain Commission,Commission canadienne des grains
2019,Good,Biens,905,1410525.76,-128.49,Canadian Grain Commission,Commission canadienne des grains
2019,Construction,Construction,7,16398.16,439.18,Canadian Grain Commission,Commission canadienne des grains
2017,Service,Services,1486,3123782.87,278278.73,Canadian Heritage,Patrimoine canadien
2017,Good,Biens,348,894159.27,3793.31,Canadian Heritage,Patrimoine canadien
2017,Construction,Construction,16,28213.44,5137.65,Canadian Heritage,Patrimoine canadien
2018,Service,Services,1386,2898225.62,290680.22,Canadian Heritage,Patrimoine canadien
2018,Good,Biens,193,595451.11,21962.47,Canadian Heritage,Patrimoine canadien
2018,Construction,Construction,41,97775.75,-164.71,Canadian Heritage,Patrimoine canadien
2019,Service,Services,823,2499568.62,198800.53,Canadian Heritage,Patrimoine canadien
2019,Good,Biens,130,400939.27,16874.56,Canadian Heritage,Patrimoine canadien
2019,Construction,Construction,12,26552.12,5771.74,Canadian Heritage,Patrimoine canadien
2020,Service,Services,569,1694881.12,121932.82,Canadian Heritage,Patrimoine canadien
2020,Good,Biens,109,334241,19080.3,Canadian Heritage,Patrimoine canadien
2020,Construction,Construction,5,12475.23,13287.3,Canadian Heritage,Patrimoine canadien
2017,Service,Services,174,620377,6530,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Good,Biens,68,142640,4060,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2018,Service,Services,229,1061400.92,47015.87,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2018,Good,Biens,49,168581.77,4502.15,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2018,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Service,Services,229,686806.87,35472.33,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Good,Biens,46,125451.1,14288.37,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2020,Service,Services,187,512548.63,12794.57,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2020,Good,Biens,55,171418.12,11435.98,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2020,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Service,Services,148,446227,86891,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Good,Biens,66,219053.62,4427.31,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Service,Services,130,570319.86,32318.71,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Good,Biens,48,205223.8,7420.11,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2018,Service,Services,106,431306,63140,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2018,Good,Biens,58,205226,10373,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2018,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2020,Service,Services,66,191610,-39937,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2020,Good,Biens,36,158178,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2020,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Service,Services,183,366704.26,5669.7,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Good,Biens,141,289972.34,3390.43,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Service,Services,217,537809.2,2524.48,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Good,Biens,28,93644.06,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2019,Service,Services,240,535535.9,6278.06,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2019,Good,Biens,58,117538.84,2152.16,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2019,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2020,Service,Services,369,768249.75,814.92,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2020,Good,Biens,54,111601.03,0.02,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2020,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Service,Services,7,44395,66147,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Good,Biens,2,7789,7789,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Construction,Construction,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
